program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.7153846153846153,1.6153846153846154,1.9384615384615385,1.3987179487179484,1.4384615384615385,1.3096153846153846,1.6615384615384616,1.126923076923077
bv,19,4.611111111111111,3.5,3.375,3.1944444444444438,2.5277777777777777,3.3333333333333335,4.666666666666667,1.9166666666666667
gcm,13,1.4696673189823874,1.1206784083496415,1.345890410958904,0.9812459230267471,1.1320939334637965,0.9538486627527736,1.161557920358309,0.7797973930929353
ising,26,1.0,0.3833333333333333,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.31716772088469747
knn,25,1.3571428571428572,1.2857142857142858,1.4642857142857142,1.314484126984127,1.5476190476190477,1.1041666666666667,1.4047619047619047,0.8928571428571429
multiplier,15,1.8333333333333333,1.6756756756756757,1.760135135135135,1.4298048048048044,1.3896396396396395,1.4087837837837838,1.572072072072072,1.162162162162162
qec9xz,17,2.125,1.84375,2.1328125,1.8697916666666665,1.640625,1.953125,2.375,1.515625
qft,18,1.4640522875816993,1.1644880174291952,1.1470588235294117,0.8357843137254881,1.0996732026143792,0.8739106753812631,1.063516828748915,0.45664458181343826
qpeexact,16,1.7346153846153847,1.332051282051283,1.448076923076923,1.0871794871794862,1.271153846153846,1.180769230769231,1.2440373347355769,0.6800312922551082
qram,20,2.0,1.7,1.8576923076923078,1.5012820512820506,1.4961538461538462,1.4365384615384615,1.8692307692307693,1.0807692307692307
sat,11,1.7341269841269842,1.496031746031746,1.6547619047619047,1.242394179894179,1.2956349206349207,1.189484126984127,1.373015873015873,1.0178571428571428
swap_test,25,1.880952380952381,1.2738095238095237,1.5089285714285714,1.1339285714285718,1.6369047619047619,1.244047619047619,1.8214285714285714,1.3660714285714286
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
