program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.4942528735632183,1.339080459770115,2.160919540229885,1.0517113053463265,1.6159340954804442,1.1206896551724137,0.9885057471264368,1.1839080459770115
bv_n19,19,1.8888888888888888,1.8888888888888888,2.7222222222222223,1.4835298641951804,2.1380283336930543,1.5,1.2222222222222223,1.6111111111111112
cat_state_n22,22,1.0,1.0,2.0,0.7853981633974486,1.5707963267948972,1.0,1.0,1.0
dnn_n16,16,1.0,0.375,1.0,0.21445485836801473,0.3110999922264123,0.375,0.5,0.375
gcm_n13,13,1.4361493123772102,1.158808120497708,1.7721021611001964,0.9034191555764309,1.2643721000650914,0.9243614931237729,0.7779960707269156,0.9873935821872963
ghz_state_n23,23,1.0,1.0,2.0,0.7853981633974487,1.5707963267948974,1.0,1.0,1.0
ising_n26,26,1.0,0.4583333333333333,1.0,0.3323688125000004,0.6647376250000008,0.4583333333333333,0.5,0.4583333333333333
knn_n25,25,2.1129032258064515,1.846774193548387,2.6129032258064515,1.450453011117698,1.912824461832155,1.4112903225806452,1.1290322580645162,1.532258064516129
multiplier_n15,15,1.9774436090225564,1.9210526315789473,2.654135338345865,1.508791202439777,2.0491215034114494,1.4924812030075187,1.150375939849624,1.612781954887218
qec9xz_n17,17,3.5833333333333335,3.5833333333333335,4.5,2.8143434188408563,3.5342917352885173,2.6666666666666665,1.8333333333333333,2.9166666666666665
qf21_n15,15,1.4910714285714286,0.9717261904761907,1.6071428571428572,0.6471344687780558,0.7963826018309443,0.7574404761904763,0.7142857142857143,0.8154761904761907
qft_n18,18,2.484848484848485,1.9141414141414148,2.5303030303030303,1.3425962889132244,1.4411980795620476,1.383838383838384,1.0,1.5164141414141419
qpeexact_16,16,2.5,1.9534883720930225,2.5348837209302326,1.4158213678346996,1.5224469947152934,1.395348837209303,1.0116279069767442,1.5387596899224811
qram_n20,20,1.8333333333333333,1.705128205128205,2.4743589743589745,1.3392045465869749,1.8728725082914603,1.3461538461538463,1.0769230769230769,1.4519230769230769
sat_n11,11,1.553921568627451,1.4166666666666667,2.2401960784313726,1.1126473947175313,1.6785960652592762,1.1764705882352942,1.0147058823529411,1.2426470588235294
swap_test_n25,25,2.1129032258064515,1.846774193548387,2.6129032258064515,1.450453011117698,1.912824461832155,1.4112903225806452,1.1290322580645162,1.532258064516129
wstate_n27,27,1.0,1.0,2.0,0.7853981633974488,1.5707963267948977,1.0,1.0,1.0
