program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.2840909090909092,1.0359848484848482,1.2869318181818181,1.0606853074437619,0.7946766307036808,1.143939393939394,1.1761363636363635,0.9829545454545454
bv_n19,19,3.0,3.0,2.8333333333333335,3.0,1.9444444444444444,2.4166666666666665,2.2222222222222223,2.361111111111111
gcm_n13,13,0.6647058823529411,0.5418300653594771,0.5647058823529412,0.518998735628042,0.3677165394002354,0.5883986928104573,0.5524509803921569,0.4939542483660131
ising_n26,26,8.0,6.75,4.3125,6.623897349565123,3.6238973495651234,5.083333333333334,3.625,3.5624999999999996
knn_n25,25,1.903225806451613,1.5376344086021505,1.6814516129032258,1.4989959678518026,1.062171056812657,1.3629032258064515,1.5564516129032258,1.2741935483870968
multiplier_n15,15,2.075187969924812,1.4849624060150375,1.5225563909774436,1.8499405312797763,1.260938175523261,1.3013784461152882,1.5620300751879699,1.1773182957393484
qec9xz_n17,17,3.6666666666666665,4.5,3.375,3.6666666666666665,2.3333333333333335,2.7083333333333335,2.75,2.868055555555556
qft_n18,18,3.4696969696969697,2.578282828282828,2.727272727272727,2.452147361234486,1.2769009244981173,2.275252525252526,2.4015151515151514,2.1010101010101017
qpeexact_16,16,3.0232558139534884,2.0368217054263558,2.1627906976744184,2.0759296132139378,1.1257363304913497,1.5775193798449625,2.0755813953488373,1.6211240310077522
qram_n20,20,2.3461538461538463,1.5833333333333333,1.8269230769230769,2.1068381557934797,1.4684321429409373,1.5566239316239316,1.705128205128205,1.3386752136752136
sat_n11,11,1.4411764705882353,1.159313725490196,1.2279411764705883,1.239712800657402,0.9080939105112963,1.0882352941176472,1.1127450980392157,0.9587418300653595
swap_test_n25,25,1.9838709677419355,1.2284946236559138,1.5846774193548387,1.6224424486018993,1.1715262731895433,1.2674731182795695,1.5362903225806452,1.3185483870967742
wstate_n27,27,1.3571428571428572,1.2321428571428572,1.7946428571428572,1.3348826163819416,1.1249999997967541,1.8571428571428572,1.3214285714285714,1.318452380952381
