"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"10","168.50886471513977","245.94548695509275","0.0499267578125","0.013671875","0.02685546875","1560","0.0002137611473305809","32","0.0002137611473305809","0","0.0002137611473305809","0.0002137611473305809","9:0.0029767859659512175;11:0.0026038574553171323","9:68;11:68","Yes","9:0.003421667431344727;11:0.014662194883402618"
"11","133.89084976780754","169.40374955602167","0.0133056640625","0.052734375","0.00439453125","1560","0.0006040678414210903","32","0.0006040678414210903","0","0.0006040678414210903","0.0006040678414210903","10:0.0026038574553171323;12:0.0034742974243243963","10:68;12:68","Yes","10:0.014662194883402618;12:0.015152079536176671"
"12","300.4877448233153","246.1351189700027","0.0281982421875","0.01611328125","0.04296875","1560","0.00020460936642587092","32","0.00020460936642587092","0","0.00020460936642587092","0.00020460936642587092","18:0.0035576634316322187;13:0.003122160356046677;11:0.0034742974243243963","18:68;13:68;11:68","Yes","18:0.002070542496663663;13:0.004205946526131543;11:0.015152079536176671"
"13","193.0460569754386","177.66434688580145","0.01171875","0.015625","0.01025390625","1560","0.0007130694162056424","32","0.0007130694162056424","0","0.0007130694162056424","0.0007130694162056424","12:0.003122160356046677;14:0.0021439049424810674","12:68;14:68","Yes","12:0.004205946526131543;14:0.009481566211156617"
"14","320.4498976971031","160.92915385729347","0.04736328125","0.01953125","0.04248046875","1560","0.00016999956092658962","32","0.00016999956092658962","0","0.00016999956092658962","0.00016999956092658962","13:0.0021439049424810674","13:68","Yes","13:0.009481566211156617"
"15","189.01121584161461","34.21703090679608","0.023681640625","0.02587890625","0.00341796875","1560","0.00043995161100475087","32","0.00043995161100475087","0","0.00043995161100475087","0.00043995161100475087","0:0.0028073391158400796;19:0.0029854203181262084","0:68;19:80","Yes","19:0.004715987055750492"
"16","181.9411313608201","175.10907136978685","0.027099609375","0.025390625","0.03271484375","1560","0.00017259696489788806","32","0.00017259696489788806","0","0.00017259696489788806","0.00017259696489788806","23:0.003575832062081341;4:0.0023591500351081707","23:184;4:80","Yes","4:0.002585061789631027"
"17","141.56111077964334","87.98122439529135","0.010986328125","0.01416015625","0.00537109375","1560","0.0006108633106734847","32","0.0006108633106734847","0","0.0006108633106734847","0.0006108633106734847","27:0.004046753993819124;8:0.0030789706726328525","27:160;8:108","Yes","27:0.00478388055375073;8:0.004125772977373848"
"18","243.352904780814","228.63231009366345","0.006591796875","0.00537109375","0.00537109375","1560","0.00026877270270990184","32","0.00026877270270990184","0","0.00026877270270990184","0.00026877270270990184","12:0.0035576634316322187;31:0.011399415805112945","12:68;31:68","Yes","12:0.002070542496663663;31:0.013230676966786176"
"19","59.325943291427286","71.05790831891485","0.05712890625","0.04296875","0.02490234375","1560","0.00040328576080381944","32","0.00040328576080381944","0","0.00040328576080381944","0.00040328576080381944","20:0.004747021818244435;15:0.0029854203181262084","20:108;15:80","Yes","20:0.0047521542340858425;15:0.004715987055750492"
"20","276.50533497852405","146.3579781062116","0.0101318359375","0.02099609375","0.00927734375","1560","0.00045090229673560293","32","0.00045090229673560293","0","0.00045090229673560293","0.00045090229673560293","19:0.004747021818244435;21:0.1911382173167342","19:108;21:68","Yes","19:0.0047521542340858425;21:0.021651700095494747"
"21","12.120774936376794","11.847988964221777","0.0989990234375","0.0986328125","0.02294921875","1560","0.01178273845997072","32","0.01178273845997072","0","0.01178273845997072","0.01178273845997072","34:0.14730552094046864;20:0.1911382173167342","34:68;20:68;22:68","Yes","34:0.24991341261315472;20:0.021651700095494747"
"22","92.02898603110661","102.96226413374374","0.0369873046875","0.048828125","0.01708984375","1560","0.0003278825631225627","32","0.0003278825631225627","0","0.0003278825631225627","0.0003278825631225627","23:0.0036827603786997454","23:68;21:68","Yes","23:0.004275231473048868"
"23","146.74472974019727","135.99565307285616","0.03759765625","0.0185546875","0.037109375","1560","0.00021996325820501167","32","0.00021996325820501167","0","0.00021996325820501167","0.00021996325820501167","22:0.0036827603786997454;24:0.0024657879739663213;16:0.003575832062081341","22:68;24:68;16:184","Yes","22:0.004275231473048868;24:0.004589841300003533"
"24","192.13732106177437","216.90343146451823","0.0286865234375","0.0126953125","0.03271484375","1560","0.0002474157143109668","32","0.0002474157143109668","0","0.0002474157143109668","0.0002474157143109668","23:0.0024657879739663213;25:0.002272926652546192","23:68;25:68","Yes","23:0.004589841300003533;25:0.004763007024043059"
"25","245.1798917160531","160.2783174762586","0.09326171875","0.10888671875","0.06494140625","1560","0.0003574764198998905","32","0.0003574764198998905","0","0.0003574764198998905","0.0003574764198998905","24:0.002272926652546192;26:0.006745813918873023;35:0.0020575318599552472","24:68;26:68;35:108","Yes","24:0.004763007024043059;26:0.006298143880318158;35:0.003061058663590993"
"26","186.33525081505468","155.5731920883527","0.1346435546875","0.1904296875","0.06201171875","1560","0.0012761878708407789","32","0.0012761878708407789","0","0.0012761878708407789","0.0012761878708407789","25:0.006745813918873023;27:0.0017767743564689742","25:68;27:68","Yes","25:0.006298143880318158"
"27","204.89668011870086","92.21577915376724","0.05810546875","0.0322265625","0.0380859375","1560","0.00033446329067348237","32","0.00033446329067348237","0","0.00033446329067348237","0.00033446329067348237","26:0.0017767743564689742;28:0.002619819085528191;17:0.004046753993819124","26:68;28:80;17:160","Yes","28:0.004141028872652386;17:0.00478388055375073"
"28","141.11526672949924","151.0358808224898","0.010498046875","0.01123046875","0.00439453125","1560","0.00019199833771090107","32","0.00019199833771090107","0","0.00019199833771090107","0.00019199833771090107","27:0.002619819085528191;29:0.0031442568051614495","27:80;29:116","Yes","27:0.004141028872652386;29:0.004514653605982993"
"29","163.43480952471964","142.929463639389","0.0213623046875","0.00927734375","0.00732421875","1560","0.0005211867708643654","32","0.0005211867708643654","0","0.0005211867708643654","0.0005211867708643654","36:0.0024783709342935945;28:0.0031442568051614495;30:0.002789331131073547","36:68;28:116;30:68","Yes","36:0.003922784011464703;28:0.004514653605982993;30:0.005077894048094972"
"30","120.53068746436469","134.1732900448994","0.01416015625","0.01416015625","0.00732421875","1560","0.00041975949691118854","32","0.00041975949691118854","0","0.00041975949691118854","0.00041975949691118854","31:0.0019431615769586186;29:0.002789331131073547","31:68;29:68","Yes","31:0.0031770931682851;29:0.005077894048094972"
"31","296.3972772083076","265.7475216766108","0.0784912109375","0.04736328125","0.052734375","1560","0.0004973304346277496","32","0.0004973304346277496","0","0.0004973304346277496","0.0004973304346277496","30:0.0019431615769586186;32:0.0022759110631440926;18:0.011399415805112945","30:68;32:68;18:68","Yes","30:0.0031770931682851;32:0.004928608688008068;18:0.013230676966786176"
"32","66.12032874670842","64.94427792299481","0.0189208984375","0.0263671875","0.01171875","1560","0.00030139121030378516","32","0.00030139121030378516","0","0.00030139121030378516","0.00030139121030378516","31:0.0022759110631440926;33:0.0021113198199674","31:68;33:68","Yes","31:0.004928608688008068;33:0.006809697010938032"
"33","213.9299426548372","64.29149047982068","0.02001953125","0.01904296875","0.04833984375","1560","0.0005851231442449473","32","0.0005851231442449473","0","0.0005851231442449473","0.0005851231442449473","37:0.0022475392415270967;32:0.0021113198199674","37:88;32:68","Yes","37:0.003973849427583165;32:0.006809697010938032"
"34","159.2792036716917","117.47135851314792","0.0343017578125","0.02880859375","0.0361328125","1560","0.000344926051799422","32","0.000344926051799422","0","0.000344926051799422","0.000344926051799422","21:0.14730552094046864;40:0.001987775527032637","21:68;40:96","Yes","21:0.24991341261315472;40:0.015670806306064683"
"35","147.97985671522153","101.71029506151672","0.017333984375","0.0126953125","0.01171875","1560","0.00042479326357719097","32","0.00042479326357719097","0","0.00042479326357719097","0.00042479326357719097","44:0.001932877744627498;25:0.0020575318599552472","44:108;25:108","Yes","44:0.0038062336938950725;25:0.003061058663590993"
"36","69.4103587297034","96.98896335021418","0.006591796875","0.0068359375","0.00244140625","1560","0.0006075903393230504","32","0.0006075903393230504","0","0.0006075903393230504","0.0006075903393230504","48:0.0017023029559621594;29:0.0024783709342935945","48:68;29:68","Yes","48:0.0031420574906836363;29:0.003922784011464703"
"37","184.10444151179078","91.6759796436828","0.0040283203125","0.0048828125","0.001953125","1560","0.0003554987390854593","32","0.0003554987390854593","0","0.0003554987390854593","0.0003554987390854593","33:0.0022475392415270967;52:0.001997186722173583","33:88;52:104","Yes","33:0.003973849427583165;52:0.002855839692030182"
"38","260.1731307917966","200.2970531210822","0.066650390625","0.0712890625","0.0693359375","1560","0.0003321423919214772","32","0.0003321423919214772","0","0.0003321423919214772","0.0003321423919214772","39:0.0027466105235706695","53:68;39:68","Yes","39:0.007926273207553597"
